,date,team1,team2,1starter_1,1starter_2,1starter_3,1starter_4,1starter_5,1starter_6,1starter_7,1starter_8,1starter_9,1starter_10,1starter_11,1sub_1,1sub_2,1sub_3,1sub_4,1sub_5,1sub_6,1sub_7,2starter_1,2starter_2,2starter_3,2starter_4,2starter_5,2starter_6,2starter_7,2starter_8,2starter_9,2starter_10,2starter_11,2sub_1,2sub_2,2sub_3,2sub_4,2sub_5,2sub_6,2sub_7,referee,assistant_1,assistant_2,fourth
201,22.12.2018,Cardiff City,Manchester United,Neil Leonard Dula Etheridge,Bruno Écuélé Manga,Greg Cunningham,Sean Morrison,Souleymane Bamba,Callum Paterson,Aron Einar Gunnarsson,Víctor Camarasa Ferrando,Harry Arter,Josh Murphy,David Junior Hoilett,Alex Smithies,Lee Peltier,Joe Ralls,Bobby Reid,Kadeem Harris,Kenneth Dahrup Zohorè,Nathaniel Mendez-Laing,David de Gea Quintana,Ashley Young,Luke Shaw,Phil Jones,Victor Nilsson Lindelöf,Nemanja Matić,Ander Herrera Agüera,Paul Pogba,Jesse Lingard,Marcus Rashford,Anthony Martial,Sergio Germán Romero,Eric Bertrand  Bailly,José Diogo Dalot Teixeira,Juan Manuel Mata García,Andreas Hoelgebaum Pereira,Frederico Rodrigues Santos,Marouane Fellaini-Bakkioui,Michael Oliver,Simon Bennett,Mick McDonough,Roger East
202,22.12.2018,AFC Bournemouth,Brighton & Hove Albion,Asmir Begović,Charlie Daniels,Steve Cook,Simon Francis,Nathan Aké,Junior Stanislas,Andrew Surman,Jefferson Andrés Lerma Solís,David Brooks,Joshua King,Callum Wilson,Artur Boruc,Diego Rico Salguero,Tyrone Mings,Jordon  Ibe,Ryan Fraser,Lys Mousset,Jermain  Defoe,Mathew Ryan,Martín Montoya Torralbo,Bernardo Fernandes da Silva Junior,Lewis Dunk,Leon-Aderemi Balogun,Davy Pröpper,Yves Bissouma,Pascal Groß,Solomon March,Florin Andone,Jürgen Locadia,Jason Steele,Bruno Saltor Grau,Gaëtan Bong Songo,Dale Stephens,Beram Kayal,Anthony Knockaert,Glenn Murray,Mike Dean,Darren Cann,Daniel Robathan,Graham Scott
203,22.12.2018,Chelsea,Leicester City,Kepa Arrizabalaga Revuelta,César Azpilicueta Tanco,Marcos  Alonso Mendoza,Antonio Rüdiger,David Luiz Moreira Marinho,Jorge Luiz Frello Filho,N'Golo Kanté,Mateo Kovačić,Eden Hazard,Pedro Eliezer Rodríguez Ledesma,Willian Borges da Silva,Wilfredo Daniel Caballero,Davide Zappacosta,Gary Cahill,Francesc Fàbregas i Soler,Ross Barkley,Ruben Loftus-Cheek,Olivier Giroud,Kasper Schmeichel,Ricardo Domingos Barbosa Pereira,Ben Chilwell,Wes Morgan,Harry Maguire,Nampalys Mendy,Hamza Choudhury,Onyinye Wilfred Ndidi,Marc Albrighton,James Maddison,Jamie Vardy,Danny Ward,Jonny Evans,Christian Fuchs,Demarai Gray,Vicente Iborra de la Fuente,Kelechi Promise Iheanacho,Shinji Okazaki,Lee Probert,Simon Beck,Adrian Holmes,Paul Tierney
204,22.12.2018,Huddersfield Town,Southampton,Jonas Lössl,Christopher Schindler,Mathias Jattah-Njie Jørgensen,Terence Kongolo,Florent Hadërgjonaj,Chris Löwe,Philip Billing,Alex  Pritchard,Juninho Bacuna,Isaac Mbenza,Steve Mounié,Ben Hamer,Jon Gorenc Stankovič,Erik Durm,Collin Quaner,Laurent Depoitre,Adama Diakhaby,Elias Kachunga,Alex McCarthy,Maya Yoshida,Jannik Vestergaard,Jan Bednarek,Yan Valery,Matt Targett,Oriol Romeu Vidal,Pierre-Emile Højbjerg,Nathan Redmond,Stuart Armstrong,Daniel William John Ings,Angus Gunn,Jack Stephens,Kayne Ramsey,Mario Lemina,Shane  Long,Charlie Austin,Michael Obafemi,Stuart Attwell,Ian Hussin,Andy Halliday,Jonathan Moss
205,22.12.2018,Manchester City,Crystal Palace,Ederson Santana de Moraes,Kyle Walker,John Stones,Nicolás Hernán Otamendi,Aymeric  Laporte,Fabian Delph,Bernardo Mota Veiga de Carvalho e Silva,İlkay Gündoğan,Gabriel Fernando de Jesus,Raheem Shaquille Sterling,Leroy Sané,Arijanet Murić,Danilo Luiz da Silva,Kevin De Bruyne,Riyad Mahrez,Oleksandr Zinchenko,Philip Foden,Sergio Leonel Agüero del Castillo,Vicente Guaita Panadero,Aaron Wan-Bissaka,Patrick  van Aanholt,James Tomkins,Mamadou Sakho,Jeffrey  Schlupp,Luka Milivojević,James McArthur,Max  Meyer,Andros Townsend,Wilfried Zaha,Julián Speroni,Joel Ward,Scott Dann,Jason Puncheon,Jaïro Riedewald,Alexander Sørloth,Jordan Ayew,Andre Marriner,Scott Ledger,Harry Lennard,Anthony Taylor
206,22.12.2018,Newcastle United,Fulham,Martin Dúbravka,Javier Manquillo Gaitán,Paul Dummett,Jamaal Lascelles,Fabian Lukas Schär,Mohamed Diamé,Matt Ritchie,Sung-Yeung Ki,Christian  Atsu Twasam,José Salomón Rondón Giménez,Ayoze Pérez Gutiérrez,Freddie Woodman,Federico Fernández,DeAndre Yedlin,Isaac Hayden,Robert Kenedy Nunes do Nascimento,Yoshinori Muto,José Luis Sanmartín Mato,Sergio Rico González,Cyrus Christie,Joe  Bryan,Tim Ream,Alfie Mawson,Denis Odoi,Calum Chambers,Jean Michaël Seri,Tom Cairney,André Schürrle,Aleksandar Mitrović,Marcus Bettinelli,Maxime Le Marchand,Kevin McDonald,Stefan Marius Johansen,Floyd Ayité,Luciano Vietto,Aboubakar Kamara,Martin Atkinson,Stephen Child,Gary Beswick,Jeremy Simpson
207,22.12.2018,West Ham United,Watford,Łukasz Fabiański,Pablo Javier Zabaleta Girod,Arthur Masuaku,Fabián Cornelio Balbuena González,Issa Diop,Mark Noble,Robert Snodgrass,Declan Rice,Michail Antonio,Felipe  Anderson Pereira Gomes,Javier Hernández Balcázar,Adrián San Miguel del Castillo,Aaron Cresswell,Angelo Obinze Ogbonna,Pedro  Mba Obiang Avomo,Grady Diangana,Andy Carroll,Alexandre Nascimento Costa Silva,Ben Foster,Francisco Femenía Far,José Holebas,Christian Kabasele,Craig Cathcart,Abdoulaye Doucouré,Ken Sema,Etienne Capoue,Roberto Maximiliano Pereyra,Troy Deeney,Gerard Deulofeu Lázaro,Heurelho da Silva Gomes,Adrian Mariappa,Adam Masina,Tom Cleverley,Domingos Quina,Isaac  Ajayi Success,Stefano Okaka Chuka,Lee Mason,Edward Smart,Marc Perry,Andy Davies
208,22.12.2018,Arsenal,Burnley,Bernd Leno,Sokratis Papastathopoulos,Ignacio Monreal Eraso,Sead Kolašinac,Ainsley Maitland-Niles,Mattéo Guendouzi Olié,Mesut Özil,Mohamed Naser Elsayed Elneny,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Petr Čech,Stephan Lichtsteiner,Alex Iwobi,Aaron Ramsey,Bukayo Saka,Lucas Torreira Di Pascua,Edward Nketiah,Joe Hart,Phil Bardsley,Kevin Long,Ben Mee,Charlie Taylor,James  Tarkowski,Jeff Hendrick,Ashley Westwood,Jack Cork,Ashley Barnes,Chris Wood,Tom Heaton,Matthew Lowton,Ali Koiki,Ben Gibson,Sam Vokes,Dwight McNeil,Matěj Vydra,Kevin Friend,Matthew Wilkes,Derek Eaton,Simon Hooper
209,21.12.2018,Wolverhampton Wanderers,Liverpool,Rui Pedro dos Santos Patrício,Matt Doherty,Jonathan Castro Otto,Willy Boly,Conor  Coady,Ryan Bennett,Romain Saïss,Rúben Diogo Da Silva Neves,João Filipe Iria Santos Moutinho,Raúl Alonso Jiménez Rodríguez,Adama Traoré Diarra,John Ruddy,Rúben Gonçalo Silva Nascimento Vinagre,Morgan Gibbs-White,Leander Dendoncker,Ivan Ricardo Neves Abreu Cavaleiro,Hélder Wander Sousa Azevedo Costa,Leonardo Bonatini Lohner Maia,Alisson Ramsés Becker,Andrew Robertson,Dejan Lovren,Virgil van Dijk,James Philip Milner,Fábio Henrique Tavares,Jordan Brian Henderson,Naby Deco Keïta,Sadio Mané,Mohamed  Salah Ghaly,Roberto Firmino Barbosa de Oliveira,Simon Mignolet,Nathaniel Edwin Clyne,Georginio Wijnaldum,Adam David Lallana,Daniel Andre Sturridge,Xherdan Shaqiri,Divock Okoth Origi,Craig Pawson,Lee Betts,Richard West,Michael Oliver
210,16.12.2018,Liverpool,Manchester United,Alisson Ramsés Becker,Nathaniel Edwin Clyne,Andrew Robertson,Dejan Lovren,Virgil van Dijk,Fábio Henrique Tavares,Georginio Wijnaldum,Naby Deco Keïta,Roberto Firmino Barbosa de Oliveira,Mohamed  Salah Ghaly,Sadio Mané,Simon Mignolet,Alberto Moreno Pérez,Jordan Brian Henderson,Adam David Lallana,Rafael Euclides Soares Camacho,Daniel Andre Sturridge,Xherdan Shaqiri,David de Gea Quintana,José Diogo Dalot Teixeira,Ashley Young,Victor Nilsson Lindelöf,Matteo Darmian,Eric Bertrand  Bailly,Jesse Lingard,Ander Herrera Agüera,Nemanja Matić,Romelu Lukaku Menama,Marcus Rashford,Sergio Germán Romero,Luis Antonio Valencia Mosquera,Phil Jones,Paul Pogba,Juan Manuel Mata García,Marouane Fellaini-Bakkioui,Anthony Martial,Martin Atkinson,Stephen Child,Lee Betts,Anthony Taylor
211,16.12.2018,Brighton & Hove Albion,Chelsea,Mathew Ryan,Martín Montoya Torralbo,Bernardo Fernandes da Silva Junior,Leon-Aderemi Balogun,Lewis Dunk,Dale Stephens,Pascal Groß,Davy Pröpper,Anthony Knockaert,Solomon March,Glenn Murray,Jason Steele,Bruno Saltor Grau,Gaëtan Bong Songo,Beram Kayal,Yves Bissouma,Jürgen Locadia,Florin Andone,Kepa Arrizabalaga Revuelta,César Azpilicueta Tanco,Marcos  Alonso Mendoza,Antonio Rüdiger,David Luiz Moreira Marinho,Jorge Luiz Frello Filho,N'Golo Kanté,Mateo Kovačić,Eden Hazard,Pedro Eliezer Rodríguez Ledesma,Willian Borges da Silva,Wilfredo Daniel Caballero,Andreas Christensen,Emerson Palmieri dos Santos,Francesc Fàbregas i Soler,Ross Barkley,Ruben Loftus-Cheek,Olivier Giroud,Stuart Attwell,Constantine Hatzidakis,Andy Garratt,Kevin Friend
212,16.12.2018,Southampton,Arsenal,Alex McCarthy,Yan Valery,Matt Targett,Maya Yoshida,Jannik Vestergaard,Jan Bednarek,Pierre-Emile Højbjerg,Oriol Romeu Vidal,Nathan Redmond,Stuart Armstrong,Daniel William John Ings,Angus Gunn,Wesley Hoedt,Tyreke Johnson,Steven Davis,James  Ward-Prowse,Shane  Long,Charlie Austin,Bernd Leno,Héctor Bellerín Moruno,Ignacio Monreal Eraso,Stephan Lichtsteiner,Laurent Koscielny,Granit Xhaka,Lucas Torreira Di Pascua,Mattéo Guendouzi Olié,Henrikh Mkhitaryan,Alex Iwobi,Pierre-Emerick Aubameyang,Petr Čech,Mohamed Naser Elsayed Elneny,Aaron Ramsey,Mesut Özil,Ainsley Maitland-Niles,Alexandre Lacazette,Edward Nketiah,Chris Kavanagh,Daniel Cook,Sian Massey,Graham Scott
213,15.12.2018,Fulham,West Ham United,Sergio Rico González,Denis Odoi,Joe  Bryan,Alfie Mawson,Tim Ream,Calum Chambers,Jean Michaël Seri,Tom Cairney,André Schürrle,Aboubakar Kamara,Aleksandar Mitrović,Marcus Bettinelli,Cyrus Christie,Neeskens Kebano,Stefan Marius Johansen,Ibrahima Cissé,Floyd Ayité,Luciano Vietto,Łukasz Fabiański,Pablo Javier Zabaleta Girod,Arthur Masuaku,Fabián Cornelio Balbuena González,Issa Diop,Declan Rice,Robert Snodgrass,Mark Noble,Michail Antonio,Felipe  Anderson Pereira Gomes,Javier Hernández Balcázar,Adrián San Miguel del Castillo,Aaron Cresswell,Angelo Obinze Ogbonna,Pedro  Mba Obiang Avomo,Grady Diangana,Andy Carroll,Alexandre Nascimento Costa Silva,Mike Dean,Darren Cann,Daniel Robathan,Lee Probert
214,15.12.2018,Crystal Palace,Leicester City,Vicente Guaita Panadero,Aaron Wan-Bissaka,Patrick  van Aanholt,Martin Kelly,Mamadou Sakho,Cheikhou Kouyaté,James McArthur,Luka Milivojević,Andros Townsend,Max  Meyer,Jordan Ayew,Julián Speroni,Joel Ward,Scott Dann,Jeffrey  Schlupp,Jason Puncheon,Alexander Sørloth,Connor Wickham,Kasper Schmeichel,Ricardo Domingos Barbosa Pereira,Christian Fuchs,Wes Morgan,Harry Maguire,Onyinye Wilfred Ndidi,Marc Albrighton,Nampalys Mendy,James Maddison,Demarai Gray,Jamie Vardy,Danny Ward,Danny Simpson,Jonny Evans,Vicente Iborra de la Fuente,Rachid Ghezzal,Kelechi Promise Iheanacho,Shinji Okazaki,Michael Oliver,Stuart Burt,Simon Bennett,Stuart Attwell
215,15.12.2018,Huddersfield Town,Newcastle United,Jonas Lössl,Florent Hadërgjonaj,Chris Löwe,Terence Kongolo,Christopher Schindler,Mathias Jattah-Njie Jørgensen,Juninho Bacuna,Philip Billing,Alex  Pritchard,Jonathan Hogg,Laurent Depoitre,Ben Hamer,Jon Gorenc Stankovič,Erik Durm,Ramadan Sobhi,Elias Kachunga,Isaac Mbenza,Collin Quaner,Martin Dúbravka,Ciaran Clark,Javier Manquillo Gaitán,Fabian Lukas Schär,Jamaal Lascelles,Mohamed Diamé,Christian  Atsu Twasam,Sung-Yeung Ki,Robert Kenedy Nunes do Nascimento,José Salomón Rondón Giménez,Ayoze Pérez Gutiérrez,Freddie Woodman,Paul Dummett,Jacob Murphy,Matt Ritchie,Isaac Hayden,Yoshinori Muto,José Luis Sanmartín Mato,Anthony Taylor,Gary Beswick,Adam Nunn,Martin Atkinson
216,15.12.2018,Tottenham Hotspur,Burnley,Hugo Lloris,Danny Rose,Kieran Trippier,Ben Davies,Toby Alderweireld,Bamidele Alli,Erik Lamela,Lucas Rodrigues Moura da Silva,Moussa Sissoko,Oliver Skipp,Harry Kane,Paulo Dino Gazzaniga,Timothy Eyoma,Kyle Walker-Peters,Christian  Dannemann Eriksen,Harry Winks,Heung-Min Son,Fernando Llorente Torres,Joe Hart,James  Tarkowski,Phil Bardsley,Charlie Taylor,Ben Mee,Kevin Long,Aaron  Lennon,Robbie Brady,Jack Cork,Ashley Westwood,Ashley Barnes,Tom Heaton,Matthew Lowton,Ben Gibson,Jeff Hendrick,Sam Vokes,Chris Wood,Matěj Vydra,Graham Scott,Simon Long,Neil Davies,Lee Mason
217,15.12.2018,Watford,Cardiff City,Ben Foster,Francisco Femenía Far,José Holebas,Christian Kabasele,Craig Cathcart,Abdoulaye Doucouré,Ken Sema,Domingos Quina,Roberto Maximiliano Pereyra,Troy Deeney,Gerard Deulofeu Lázaro,Heurelho da Silva Gomes,Adrian Mariappa,Adam Masina,Tom Cleverley,Nathaniel Chalobah,Isaac  Ajayi Success,Stefano Okaka Chuka,Neil Leonard Dula Etheridge,Bruno Écuélé Manga,Joe Bennett,Sean Morrison,Souleymane Bamba,Callum Paterson,Aron Einar Gunnarsson,Víctor Camarasa Ferrando,Harry Arter,Josh Murphy,David Junior Hoilett,Alex Smithies,Lee Peltier,Joe Ralls,Bobby Reid,Kadeem Harris,Kenneth Dahrup Zohorè,Nathaniel Mendez-Laing,Andy Madley,Matthew Wilkes,Mick McDonough,Andre Marriner
218,15.12.2018,Wolverhampton Wanderers,AFC Bournemouth,Rui Pedro dos Santos Patrício,Matt Doherty,Jonathan Castro Otto,Willy Boly,Conor  Coady,Ryan Bennett,João Filipe Iria Santos Moutinho,Rúben Diogo Da Silva Neves,Morgan Gibbs-White,Diogo José Teixeira da Silva,Raúl Alonso Jiménez Rodríguez,John Ruddy,Rúben Gonçalo Silva Nascimento Vinagre,Romain Saïss,Leander Dendoncker,Ivan Ricardo Neves Abreu Cavaleiro,Hélder Wander Sousa Azevedo Costa,Adama Traoré Diarra,Asmir Begović,Charlie Daniels,Tyrone Mings,Nathan Aké,Steve Cook,Ryan Fraser,Andrew Surman,Jefferson Andrés Lerma Solís,Junior Stanislas,Jordon  Ibe,Joshua King,Artur Boruc,Diego Rico Salguero,Marc Pugh,David Brooks,Lys Mousset,Callum Wilson,Jermain  Defoe,Simon Hooper,Ian Hussin,Scott Ledger,Kevin Friend
219,15.12.2018,Manchester City,Everton,Ederson Santana de Moraes,Kyle Walker,Nicolás Hernán Otamendi,Aymeric  Laporte,Fabian Delph,Fernando Luiz Rosa,Bernardo Mota Veiga de Carvalho e Silva,İlkay Gündoğan,Riyad Mahrez,Gabriel Fernando de Jesus,Leroy Sané,Arijanet Murić,John Stones,Kevin De Bruyne,Oleksandr Zinchenko,Philip Foden,Raheem Shaquille Sterling,Sergio Leonel Agüero del Castillo,Jordan Pickford,Séamus Coleman,Lucas Digne,Kurt Happy Zouma,Michael Keane,Yerry Fernando Mina González,André Filipe Tavares Gomes,Gylfi Þór Sigurðsson,Bernard  Anício Caldeira Duarte,Dominic Calvert-Lewin,Richarlison de Andrade,Maarten Stekelenburg,Leighton Baines,Morgan Schneiderlin,Tom Davies,Theo  Walcott,Cenk Tosun,Ademola Lookman,Craig Pawson,Edward Smart,Richard West,Paul Tierney
220,10.12.2018,Everton,Watford,Jordan Pickford,Séamus Coleman,Lucas Digne,Michael Keane,Yerry Fernando Mina González,Idrissa Gana Gueye,André Filipe Tavares Gomes,Gylfi Þór Sigurðsson,Bernard  Anício Caldeira Duarte,Theo  Walcott,Richarlison de Andrade,Maarten Stekelenburg,Leighton Baines,Kurt Happy Zouma,Tom Davies,Cenk Tosun,Dominic Calvert-Lewin,Ademola Lookman,Ben Foster,Francisco Femenía Far,José Holebas,Christian Kabasele,Craig Cathcart,Domingos Quina,Abdoulaye Doucouré,Roberto Maximiliano Pereyra,Ken Sema,Isaac  Ajayi Success,Troy Deeney,Heurelho da Silva Gomes,Adrian Mariappa,Adam Masina,Ben Wilmot,Nathaniel Chalobah,Gerard Deulofeu Lázaro,Stefano Okaka Chuka,Kevin Friend,Simon Long,Derek Eaton,Lee Mason
221,09.12.2018,Newcastle United,Wolverhampton Wanderers,Martin Dúbravka,DeAndre Yedlin,Ciaran Clark,Jamaal Lascelles,Federico Fernández,Matt Ritchie,Christian  Atsu Twasam,Mohamed Diamé,Sung-Yeung Ki,José Salomón Rondón Giménez,Ayoze Pérez Gutiérrez,Freddie Woodman,Paul Dummett,Javier Manquillo Gaitán,Robert Kenedy Nunes do Nascimento,Sean Longstaff,Yoshinori Muto,José Luis Sanmartín Mato,Rui Pedro dos Santos Patrício,Matt Doherty,Rúben Gonçalo Silva Nascimento Vinagre,Willy Boly,Conor  Coady,Ryan Bennett,Rúben Diogo Da Silva Neves,Romain Saïss,Diogo José Teixeira da Silva,Adama Traoré Diarra,Hélder Wander Sousa Azevedo Costa,John Ruddy,Morgan Gibbs-White,João Filipe Iria Santos Moutinho,Leander Dendoncker,Ivan Ricardo Neves Abreu Cavaleiro,Raúl Alonso Jiménez Rodríguez,Leonardo Bonatini Lohner Maia,Mike Dean,Darren Cann,Daniel Robathan,Simon Hooper
222,08.12.2018,Leicester City,Tottenham Hotspur,Kasper Schmeichel,Ricardo Domingos Barbosa Pereira,Ben Chilwell,Wes Morgan,Jonny Evans,Onyinye Wilfred Ndidi,Demarai Gray,Vicente Iborra de la Fuente,James Maddison,Nampalys Mendy,Kelechi Promise Iheanacho,Danny Ward,Harry Maguire,Christian Fuchs,Marc Albrighton,Rachid Ghezzal,Hamza Choudhury,Shinji Okazaki,Hugo Lloris,Serge Aurier,Ben Davies,Toby Alderweireld,Jan Vertonghen,Harry Winks,Moussa Sissoko,Eric Dier,Lucas Rodrigues Moura da Silva,Bamidele Alli,Heung-Min Son,Paulo Dino Gazzaniga,Danny Rose,Kyle Walker-Peters,Georges-Kevin N'Koudou Mbida,Christian  Dannemann Eriksen,Oliver Skipp,Harry Kane,Craig Pawson,Lee Betts,Ian Hussin,Roger East
223,08.12.2018,Chelsea,Manchester City,Kepa Arrizabalaga Revuelta,César Azpilicueta Tanco,Marcos  Alonso Mendoza,Antonio Rüdiger,David Luiz Moreira Marinho,Jorge Luiz Frello Filho,N'Golo Kanté,Mateo Kovačić,Eden Hazard,Pedro Eliezer Rodríguez Ledesma,Willian Borges da Silva,Wilfredo Daniel Caballero,Andreas Christensen,Emerson Palmieri dos Santos,Francesc Fàbregas i Soler,Ross Barkley,Ruben Loftus-Cheek,Olivier Giroud,Ederson Santana de Moraes,Kyle Walker,John Stones,Aymeric  Laporte,Fabian Delph,Fernando Luiz Rosa,Bernardo Mota Veiga de Carvalho e Silva,David Josué Jiménez Silva,Riyad Mahrez,Raheem Shaquille Sterling,Leroy Sané,Arijanet Murić,Danilo Luiz da Silva,Vincent Kompany,Nicolás Hernán Otamendi,İlkay Gündoğan,Philip Foden,Gabriel Fernando de Jesus,Michael Oliver,Stuart Burt,Simon Bennett,Andre Marriner
224,08.12.2018,Arsenal,Huddersfield Town,Bernd Leno,Héctor Bellerín Moruno,Sead Kolašinac,Sokratis Papastathopoulos,Shkodran Mustafi,Stephan Lichtsteiner,Mattéo Guendouzi Olié,Granit Xhaka,Lucas Torreira Di Pascua,Alexandre Lacazette,Pierre-Emerick Aubameyang,Petr Čech,Laurent Koscielny,Ignacio Monreal Eraso,Mohamed Naser Elsayed Elneny,Henrikh Mkhitaryan,Alex Iwobi,Edward Nketiah,Jonas Lössl,Tom Smith,Chris Löwe,Terence Kongolo,Christopher Schindler,Mathias Jattah-Njie Jørgensen,Aaron Mooy,Daniel Williams,Alex  Pritchard,Jonathan Hogg,Laurent Depoitre,Ben Hamer,Florent Hadërgjonaj,Erik Durm,Juninho Bacuna,Ramadan Sobhi,Elias Kachunga,Isaac Mbenza,Paul Tierney,Simon Beck,Mick McDonough,Stuart Attwell
225,08.12.2018,Burnley,Brighton & Hove Albion,Joe Hart,Charlie Taylor,Phil Bardsley,Ben Mee,James  Tarkowski,Jack Cork,Johann  Berg Guðmunds­son,Ashley Westwood,Robbie Brady,Chris Wood,Ashley Barnes,Tom Heaton,Matthew Lowton,Kevin Long,Jeff Hendrick,Aaron  Lennon,Matěj Vydra,Sam Vokes,Mathew Ryan,Leon-Aderemi Balogun,Bernardo Fernandes da Silva Junior,Bruno Saltor Grau,Lewis Dunk,Anthony Knockaert,Yves Bissouma,Solomon March,Davy Pröpper,Pascal Groß,Florin Andone,Jason Steele,Gaëtan Bong Songo,Ben White,Dale Stephens,Beram Kayal,Glenn Murray,Jürgen Locadia,Martin Atkinson,Constantine Hatzidakis,Daniel Cook,Robert Jones
226,08.12.2018,Cardiff City,Southampton,Neil Leonard Dula Etheridge,Bruno Écuélé Manga,Joe Bennett,Sean Morrison,Souleymane Bamba,Callum Paterson,Aron Einar Gunnarsson,Harry Arter,Víctor Camarasa Ferrando,Josh Murphy,Nathaniel Mendez-Laing,Alex Smithies,Lee Peltier,Joe Ralls,Bobby Reid,Kadeem Harris,Gary Madine,David Junior Hoilett,Alex McCarthy,Yan Valery,Matt Targett,Jan Bednarek,Jannik Vestergaard,Oriol Romeu Vidal,Nathan Redmond,Pierre-Emile Højbjerg,Mario Lemina,Stuart Armstrong,Charlie Austin,Angus Gunn,Maya Yoshida,Jack Stephens,Wesley Hoedt,Mohamed Elyounoussi,James  Ward-Prowse,Manolo Gabbiadini,Jonathan Moss,Harry Lennard,Andy Halliday,Graham Scott
227,08.12.2018,Manchester United,Fulham,David de Gea Quintana,José Diogo Dalot Teixeira,Ashley Young,Phil Jones,Chris Smalling,Ander Herrera Agüera,Nemanja Matić,Juan Manuel Mata García,Jesse Lingard,Marcus Rashford,Romelu Lukaku Menama,Sergio Germán Romero,Faustino Marcos Alberto Rojo,Paul Pogba,Frederico Rodrigues Santos,Marouane Fellaini-Bakkioui,Scott McTominay,Andreas Hoelgebaum Pereira,Sergio Rico González,Denis Odoi,Joe  Bryan,Tim Ream,Alfie Mawson,André-Frank Zambo Anguissa,André Schürrle,Jean Michaël Seri,Tom Cairney,Kouassi Ryan Sessegnon,Aleksandar Mitrović,Marcus Bettinelli,Cyrus Christie,Neeskens Kebano,Stefan Marius Johansen,Ibrahima Cissé,Luciano Vietto,Aboubakar Kamara,Lee Probert,Adrian Holmes,Andy Garratt,Mike Dean
228,08.12.2018,West Ham United,Crystal Palace,Łukasz Fabiański,Pablo Javier Zabaleta Girod,Arthur Masuaku,Fabián Cornelio Balbuena González,Issa Diop,Mark Noble,Robert Snodgrass,Declan Rice,Felipe  Anderson Pereira Gomes,Lucas Pérez Martínez,Javier Hernández Balcázar,Adrián San Miguel del Castillo,Aaron Cresswell,Angelo Obinze Ogbonna,Pedro  Mba Obiang Avomo,Michail Antonio,Grady Diangana,Andy Carroll,Wayne  Hennessey,Aaron Wan-Bissaka,Patrick  van Aanholt,James Tomkins,Mamadou Sakho,Luka Milivojević,James McArthur,Cheikhou Kouyaté,Andros Townsend,Max  Meyer,Wilfried Zaha,Vicente Guaita Panadero,Joel Ward,Jeffrey  Schlupp,Martin Kelly,Jason Puncheon,Alexander Sørloth,Jordan Ayew,Anthony Taylor,Gary Beswick,Adam Nunn,Chris Kavanagh
229,08.12.2018,AFC Bournemouth,Liverpool,Asmir Begović,Nathan Aké,Simon Francis,Steve Cook,Charlie Daniels,Jefferson Andrés Lerma Solís,Ryan Fraser,Junior Stanislas,Andrew Surman,David Brooks,Joshua King,Artur Boruc,Diego Rico Salguero,Tyrone Mings,Jordon  Ibe,Marc Pugh,Lys Mousset,Jermain  Defoe,Alisson Ramsés Becker,Andrew Robertson,Joël Andre Job Matip,Virgil van Dijk,Fábio Henrique Tavares,James Philip Milner,Georginio Wijnaldum,Naby Deco Keïta,Mohamed  Salah Ghaly,Xherdan Shaqiri,Roberto Firmino Barbosa de Oliveira,Simon Mignolet,Trent Alexander-Arnold,Jordan Brian Henderson,Adam David Lallana,Divock Okoth Origi,Daniel Andre Sturridge,Sadio Mané,Lee Mason,Edward Smart,Marc Perry,Kevin Friend
230,05.12.2018,Manchester United,Arsenal,David de Gea Quintana,José Diogo Dalot Teixeira,Matteo Darmian,Faustino Marcos Alberto Rojo,Chris Smalling,Eric Bertrand  Bailly,Nemanja Matić,Ander Herrera Agüera,Jesse Lingard,Marcus Rashford,Anthony Martial,Sergio Germán Romero,Luis Antonio Valencia Mosquera,Paul Pogba,Juan Manuel Mata García,Marouane Fellaini-Bakkioui,Scott McTominay,Romelu Lukaku Menama,Bernd Leno,Héctor Bellerín Moruno,Sead Kolašinac,Rob Holding,Shkodran Mustafi,Sokratis Papastathopoulos,Lucas Torreira Di Pascua,Mattéo Guendouzi Olié,Aaron Ramsey,Alex Iwobi,Pierre-Emerick Aubameyang,Petr Čech,Stephan Lichtsteiner,Mohamed Naser Elsayed Elneny,Henrikh Mkhitaryan,Ainsley Maitland-Niles,Alexandre Lacazette,Edward Nketiah,Andre Marriner,Scott Ledger,Simon Long,Chris Kavanagh
231,05.12.2018,Tottenham Hotspur,Southampton,Hugo Lloris,Kieran Trippier,Danny Rose,Juan Marcos Foyth,Toby Alderweireld,Harry Winks,Lucas Rodrigues Moura da Silva,Eric Dier,Christian  Dannemann Eriksen,Heung-Min Son,Harry Kane,Paulo Dino Gazzaniga,Serge Aurier,Ben Davies,Moussa Sissoko,Bamidele Alli,Oliver Skipp,Fernando Llorente Torres,Alex McCarthy,Cédric Ricardo Alves Soares,Matt Targett,Maya Yoshida,Jack Stephens,Steven Davis,Nathan Redmond,Pierre-Emile Højbjerg,James  Ward-Prowse,Stuart Armstrong,Manolo Gabbiadini,Angus Gunn,Jannik Vestergaard,Wesley Hoedt,Yan Valery,Mohamed Elyounoussi,Oriol Romeu Vidal,Charlie Austin,Anthony Taylor,Gary Beswick,Adam Nunn,Paul Tierney
